Date/Time,THERMAL ZONE 1 THERMAL ZONE:Zone Mean Air Temperature [C](Hourly),THERMAL ZONE 2 THERMAL ZONE:Zone Mean Air Temperature [C](Hourly),THERMAL ZONE 3 THERMAL ZONE:Zone Mean Air Temperature [C](Hourly),THERMAL ZONE 4 THERMAL ZONE:Zone Mean Air Temperature [C](Hourly),THERMAL ZONE 5 THERMAL ZONE:Zone Mean Air Temperature [C](Hourly),THERMAL ZONE 6 THERMAL ZONE:Zone Mean Air Temperature [C](Hourly),THERMAL ZONE 1 THERMAL ZONE:AFN Zone Infiltration Air Change Rate [ach](Hourly),THERMAL ZONE 2 THERMAL ZONE:AFN Zone Infiltration Air Change Rate [ach](Hourly),THERMAL ZONE 3 THERMAL ZONE:AFN Zone Infiltration Air Change Rate [ach](Hourly),THERMAL ZONE 4 THERMAL ZONE:AFN Zone Infiltration Air Change Rate [ach](Hourly),THERMAL ZONE 5 THERMAL ZONE:AFN Zone Infiltration Air Change Rate [ach](Hourly),THERMAL ZONE 6 THERMAL ZONE:AFN Zone Infiltration Air Change Rate [ach](Hourly),Whole Building:Facility Total HVAC Electric Demand Power [W](Hourly),CV ELEC RHT COIL:Heating Coil Electric Energy [J](Hourly),CV ELEC RHT COIL 1:Heating Coil Electric Energy [J](Hourly),CV ELEC RHT COIL 2:Heating Coil Electric Energy [J](Hourly),CV ELEC RHT COIL 3:Heating Coil Electric Energy [J](Hourly),CV ELEC RHT COIL 4:Heating Coil Electric Energy [J](Hourly),CV ELEC RHT COIL 5:Heating Coil Electric Energy [J](Hourly),COIL COOLING WATER 1:Cooling Coil Total Cooling Energy [J](Hourly),COIL COOLING WATER 2:Cooling Coil Total Cooling Energy [J](Hourly),COIL COOLING WATER 3:Cooling Coil Total Cooling Energy [J](Hourly),COIL COOLING WATER 4:Cooling Coil Total Cooling Energy [J](Hourly),COIL COOLING WATER 5:Cooling Coil Total Cooling Energy [J](Hourly),COIL COOLING WATER 6:Cooling Coil Total Cooling Energy [J](Hourly),FAN VARIABLE VOLUME 1:Fan Electric Energy [J](Hourly),FAN VARIABLE VOLUME 2:Fan Electric Energy [J](Hourly),FAN VARIABLE VOLUME 3:Fan Electric Energy [J](Hourly),FAN VARIABLE VOLUME 4:Fan Electric Energy [J](Hourly),FAN VARIABLE VOLUME 5:Fan Electric Energy [J](Hourly),FAN VARIABLE VOLUME 6:Fan Electric Energy [J](Hourly),CHILLER - WATER COOLED:Chiller Electric Energy [J](Hourly),PUMP VARIABLE SPEED 1:Pump Electric Energy [J](Hourly) 
 03/01  01:00:00,15.263363724286953,15.032709336949314,14.901944407575986,18.11260573282514,14.26703777525923,14.525879637991145,0.16122169582359686,0.12212625397966166,0.0,0.0,0.0803461671650797,0.25230549407095739,18932.821276923805,0.0,0.0,0.0,0.0,207959.320021897,0.0,36537536.50179653,5957832.471810228,1044329.9954384266,3749598.6478131425,16341699.317716005,17687120.436882549,9833427.516610189,4561823.570410369,1586868.1485596379,750477.7605017049,6323558.622847754,6130215.8949700989,37602907.47963382,1160918.2833702295 
 03/01  02:00:00,15.268159813411043,15.073006823957354,15.07628987182014,17.893924076343269,14.260005260005766,14.486070261839413,0.2223326501016598,0.212190426913183,0.0,0.0,0.1384641020233518,0.2546741389808686,19547.185941600186,0.0,0.0,0.0,0.0,1314011.1381383946,0.0,38977483.61834995,10037926.222508409,2055891.7492557399,4036215.574058091,17668401.38591758,18775249.458694798,9833427.516610189,4561823.570410369,1586868.1485596379,750477.7605017049,6323558.622847754,6130215.8949700989,38657072.16072544,1212414.5769970949 
 03/01  03:00:00,15.159345991433236,14.966271034307923,14.807638568663166,17.737122979632539,14.26000852483366,14.30942334503107,0.17027829556250327,0.15024112865004908,0.0,0.0,0.09874722485231963,0.27529132172015599,17810.18855457122,0.0,0.0,0.0,0.0,2948755.022892326,595329.8029734949,33652372.378624048,2516352.043067249,2559.639504255329,3199857.0747283797,15242941.616407039,15099356.369627502,9833427.516610189,4561823.570410369,1586868.1485596379,750477.7605017049,6323558.622847754,6130215.8949700989,30743732.12476864,642490.3319221869 
 03/01  04:00:00,15.049569924366875,14.556487104513702,14.294557988742677,17.61396976803885,14.260009576407006,14.260006508983342,0.14269552028522759,0.046707819870119789,0.0,0.0,0.032455180348996959,0.2479211960883508,18072.917346789873,0.0,539932.5617229417,1782527.4825311157,0.0,3788208.6906739685,3798219.466176733,28326902.248527498,0.0,0.0,2384471.363189355,12817791.80181168,12278706.640950347,9833427.516610189,4561823.570410369,1586868.1485596379,750477.7605017049,6323558.622847754,6130215.8949700989,25443116.63250771,524126.1009313157 
 03/01  05:00:00,14.936689098295805,14.26000979404724,14.260018480229217,17.507800323585298,14.260010025623057,14.260007477614803,0.14783381757004913,0.06732713783632495,0.0,0.0,0.042815099300139259,0.22306568710606834,19877.428145578033,0.0,4239413.674357335,4364749.815954533,0.0,4953513.47656239,5715039.460803054,24997001.69320268,0.0,0.0,1956950.6579537194,11630846.427891549,11102204.463763178,9833427.516610189,4561823.570410369,1586868.1485596379,750477.7605017049,6323558.622847754,6130215.8949700989,22626003.842824926,473649.53967891648 
 03/01  06:00:00,14.848716754284164,14.259986832869533,14.257616993991187,17.419841762419133,14.26000399688255,14.260002106251975,0.17304437225756393,0.1469512143712588,0.0,0.0,0.09363179363235907,0.2658828527572855,21737.520007270934,0.0,7326091.289315682,5464086.512927761,0.0,6482468.011002384,8062586.296402658,23205042.67007451,0.0,0.0,1758238.4464409482,11161253.850905922,10637286.150052835,9833427.516610189,4561823.570410369,1586868.1485596379,750477.7605017049,6323558.622847754,6130215.8949700989,21284324.54225302,449143.86037410839 
 03/01  07:00:00,14.752415953099203,14.259955870597893,14.248445409015293,17.349710111195436,14.259990867270512,14.259988645190063,0.22091563783276919,0.20771652009171355,0.0,0.0,0.13452846864918839,0.3730459608335218,23087.357857519313,0.0,8284989.362270898,5719703.191118748,0.0,7560166.801861639,11173144.333618548,22152878.020298248,0.0,0.0,1724362.531898268,11197104.273261415,10673882.129364893,9833427.516610189,4561823.570410369,1586868.1485596379,750477.7605017049,6323558.622847754,6130215.8949700989,20749260.062648897,440853.0216510278 
 03/01  08:00:00,14.810071952611537,14.259975566101233,14.259922561425853,17.294195517765187,14.259987098916565,14.25998632946021,0.17916807188607024,0.1570082476583497,0.0,0.0,0.10347300083415996,0.35132142947946617,21612.982061041595,0.0,5856732.392646306,5321086.715648793,0.0,6279007.417426242,9085677.174735917,23305824.66072504,0.0,0.0,1815348.2496565544,11613898.953939457,11088396.385108628,9833427.516610189,4561823.570410369,1586868.1485596379,750477.7605017049,6323558.622847754,6130215.8949700989,21619429.314105143,458430.89128758586 
 03/01  09:00:00,17.93323485662755,17.771481365779985,16.103155402812115,17.356392786028004,17.59680259464411,17.96565545558164,0.14578510057491976,0.09060452267708626,0.0,0.0,0.06415901954412756,0.5122329148477109,93064.74654274839,78754959.66900444,42511428.82124247,5961534.261885291,147299.11466093624,50154524.94109927,68209629.33199826,58775665.608709,0.0,0.0,1848290.4136332873,35992470.0921254,37471087.42995678,9833427.516610189,4561823.570410369,1586868.1485596377,750477.7605017049,6323558.622847754,6130215.8949700989,58996267.36341683,1111072.5366869309 
 03/01  10:00:00,18.179978642300889,18.180017479928979,17.070588257395877,17.56189788404242,18.17995517323817,18.179979411000518,0.2075497334815178,0.17339818570855226,0.0,0.0,0.11350391929374108,0.2621054513949678,73521.28326888237,58010678.86209213,31764129.192783838,5961534.261885291,147299.11466093624,38042401.94776698,34607988.00337919,62488639.9603494,0.0,0.0,1973146.3377845048,41229082.635812919,39683946.61173897,9833427.516610189,4561823.570410369,1586868.1485596379,750477.7605017049,6323558.622847754,6130215.8949700989,65762878.0901795,1193338.7813288954 
 03/01  11:00:00,18.179993613871134,18.18000904042625,17.442446858472928,17.836583274186269,18.179974614607454,18.179986674926114,0.14168941919771167,0.0954360477604779,0.0,0.0,0.06284285546499388,0.5033670723651845,72665.46095285582,54125770.41458402,27733550.117258468,5961534.261885291,147299.11466093624,34854181.3824465,41294425.63646673,63163222.803826268,0.0,0.0,2263436.521326053,41634887.4932583,40082364.847205538,9833427.516610189,4561823.570410369,1586868.1485596379,750477.7605017049,6323558.622847754,6130215.8949700989,66531056.84317616,1761470.1459030472 
 03/01  12:00:00,18.17999332797133,18.179988729350165,17.882992989342236,18.06864754645301,18.1799762223771,18.179987414895476,0.04951105412875503,0.058304904895940558,0.0,0.0,0.03610091055530372,0.5481581183720066,68883.05421550035,47043402.29526755,24494162.78698001,5961534.261885291,147299.11466093624,32475112.65203931,39592668.61183002,64545526.4405981,1380789.3651096959,0.0,2657311.748956758,42462338.33324067,40902216.930479127,9833427.516610189,4561823.570410369,1586868.1485596379,750477.7605017049,6323558.622847754,6130215.8949700989,66598162.98350724,2480280.955731131 
 03/01  13:00:00,18.18000690502341,18.18003954218605,18.174015167184224,18.236166953170846,18.179993831396616,18.180001680332095,0.04878165190581319,0.04927273329512725,0.0,0.0,0.030840345901514,0.5517400420967402,63791.47822535418,40536309.84186584,21551143.736372509,5459869.1468825279,8695.963491034214,29156148.009233204,34747794.1288875,65270399.50573223,2670508.098829003,0.0,2892503.6728661695,42896835.09629238,41331027.20353543,9833427.516610189,4561823.570410369,1586868.1485596379,750477.7605017049,6323558.622847754,6130215.8949700989,66598162.98350723,2404826.287135448 
 03/01  14:00:00,18.180003726500958,18.179991320264628,18.179991775570167,18.404199868407017,18.179993365184826,18.17999781873361,0.087056140134031,0.024705580283522847,0.0,0.0,0.015533131637020826,0.4913471762905732,55935.69821090381,32356859.914847658,17070267.571732835,4141254.6326014345,0.0,24070438.131773607,25563608.176142038,66057627.59039894,4090741.3444516879,0.0,3137786.642220698,43367918.71208044,41793969.06238893,9833427.516610189,4561823.570410369,1586868.1485596379,750477.7605017049,6323558.622847754,6130215.8949700989,66598162.98350723,2381550.634749104 
 03/01  15:00:00,18.18000051568746,18.18000259983781,18.179996328084124,18.58154776575567,18.17999054309216,18.1799958093898,0.09755887506250086,0.027491440017905944,0.0,0.0,0.018123409170424485,0.4820922044639545,52681.85597379754,29842630.585460538,15684495.20426721,2350859.847696011,0.0,22164178.957144828,21494482.88531564,67425809.52058633,6565959.698184672,0.0,3495355.5853240715,44185277.06574965,42604630.81505189,9833427.516610189,4561823.570410369,1586868.1485596379,750477.7605017049,6323558.622847754,6130215.8949700989,66598162.98350723,2333499.5283798708 
 03/01  16:00:00,18.180008891686066,18.180023415400155,18.18000152529786,18.737874361525145,18.179998699287319,18.180001271977589,0.0638870527042536,0.03216827726824047,0.0,0.0,0.020830889455630869,0.5133149449136821,56286.69231244584,35558234.73765214,18197934.23029408,730600.8345590052,0.0,24805392.286608086,25213170.287310903,68804279.06251012,9065814.1320039,0.0,3842759.0796631865,45008732.54494612,43419693.00792535,9833427.516610189,4561823.570410369,1586868.1485596379,750477.7605017049,6323558.622847754,6130215.8949700989,66598162.983507249,2342225.4509737936 
 03/01  17:00:00,18.18001503347866,18.18002777278898,18.185954840392378,18.829910314458677,18.180004534627228,18.180004109476884,0.08696976291243389,0.0354105783556043,0.0,0.0,0.022720449098048467,0.4393102982229299,56961.2896277689,38598430.1940819,19003136.52255211,0.0,0.0,25335060.191388459,23999416.384462328,69517281.76237785,10353967.733176519,0.0,4030671.0779170056,45435311.7704848,43840002.24934662,9833427.516610189,4561823.570410369,1586868.1485596379,750477.7605017049,6323558.622847754,6130215.8949700989,66598162.98350723,2340064.8700762668 
 03/01  18:00:00,18.180021246043279,18.18003171106978,18.19919427183927,18.879106777867546,18.180009504895513,18.180006478558174,0.12557676007570024,0.08437515808509758,0.0,0.0,0.05427610818285035,0.4060190919537566,60713.04421917068,45011254.35204024,21324145.394844545,0.0,0.0,27809491.20546798,26318560.016231855,69523396.30963105,10352919.035023138,0.0,4063411.3214612116,45440300.13295625,43843034.82971463,9833427.516610189,4561823.570410369,1586868.1485596379,750477.7605017049,6323558.622847754,6130215.8949700989,66598162.98350723,2318973.723022824 
 03/01  19:00:00,18.180003921161015,18.179961274350079,18.18203648297446,18.816844116232614,18.179991618601627,18.179992899755534,0.1258763996317396,0.07842906801029623,0.0,0.0,0.05071078527925173,0.4075672741092955,66833.04683920676,53644134.52459343,24975976.38282684,689201.115588911,0.0,31671918.6187108,31621032.8698547,68753646.31793414,8928327.454062939,0.0,3888128.1365478856,44982101.95003078,43388457.15302724,9833427.516610189,4561823.570410369,1586868.1485596379,750477.7605017049,6323558.622847754,6130215.8949700989,66598162.98350723,2212170.6121626247 
 03/01  20:00:00,18.17999895894642,18.180000673748805,18.179997480154908,18.73158833117615,18.17998492964659,18.17999125492799,0.16009536941780987,0.12109630882064995,0.0,0.0,0.07818718663498149,0.17429180945984394,69428.86669974333,58698155.23124219,27765028.699276829,2186850.1540624976,0.0,35091505.04287731,28383223.92187906,67425212.48348785,6454932.554129561,0.0,3589023.3741535774,44190279.25652932,42605082.13672859,9833427.516610189,4561823.570410369,1586868.1485596379,750477.7605017049,6323558.622847754,6130215.8949700989,66598162.98350724,2034622.5723310668 
 03/01  21:00:00,18.180014730487835,18.18004086025783,18.18000724692968,18.661269310030528,18.179999535862433,18.180000318849939,0.17325726731103514,0.21793658469209604,0.0,0.0,0.14048676223540075,0.13131221697261345,71429.20844442763,60726697.979620058,29904092.352246737,2962382.0246585446,0.0,37398014.0978339,28416661.28744978,66856774.851461108,5382235.285209069,0.0,3440121.8695909429,43852608.0393406,42269697.201561007,9833427.516610189,4561823.570410369,1586868.1485596379,750477.7605017049,6323558.622847754,6130215.8949700989,66598162.98350723,1952768.1607234725 
 03/01  22:00:00,18.180022961263707,18.180042704679644,18.180007357347315,18.594427241368117,18.180008190492154,18.180005536753204,0.16997990542779477,0.1831308965071877,0.0,0.0,0.1182437748563244,0.11072420945638825,71348.88359942058,61238362.95457902,29680404.8003295,2552853.1352516466,0.0,37217254.59833541,28427047.802525667,67513643.6663084,6569749.205371457,0.0,3514872.3714737605,44245551.452780578,42659163.09547762,9833427.516610189,4561823.570410369,1586868.1485596379,750477.7605017049,6323558.622847754,6130215.8949700989,66598162.98350724,1955523.169485892 
 03/01  23:00:00,16.193994111013294,16.038756922831227,16.123663612831515,18.523141603101089,15.497929491123989,15.849124831019586,0.15213907146825088,0.12889616476035305,0.0,0.0,0.07898893142035105,0.151561449465292,21449.6260674063,0.0,0.0,0.0,0.0,0.0,0.0,45595613.381607998,2391870.62898417,0.0,3461034.425491477,24904291.738780824,26486745.660978766,9833427.516610189,4561823.570410369,1586868.1485596379,750477.7605017049,6323558.622847754,6130215.8949700989,46748026.70047461,1284255.6282883208 
 03/01  24:00:00,15.338928174138357,15.094962597911544,14.941022238304324,18.3618505222858,14.415669897990267,14.737086108623695,0.1381273731271214,0.11104714811048558,0.0,0.0,0.0659335425320623,0.1338984235725154,17040.82463304305,0.0,0.0,0.0,0.0,0.0,0.0,33228387.193873936,0.0,0.0,3117213.926694454,14976729.758482824,16743585.212528846,9833427.516610189,4561823.570410369,1586868.1485596379,750477.7605017049,6323558.622847754,6130215.8949700989,31254721.447160946,905875.7178942676 
 03/02  01:00:00,15.194069582693246,14.678976327574514,14.453279408293568,18.1116809533571,14.262703810864929,14.533082130344337,0.1333076932804864,0.11744504903444779,0.0,0.0,0.07259374156229692,0.08344893987536965,16560.13840692241,0.0,0.0,0.0,0.0,1247856.7967626136,0.0,30779902.17648862,0.0,0.0,2834267.206159455,13301683.325126037,14784083.540219397,9833427.516610189,4561823.570410369,1586868.1485596379,750477.7605017049,6323558.622847754,6130215.8949700989,28332115.24388352,850154.7103747954 
 03/02  02:00:00,15.125876828915173,14.488500190477595,14.264316628879565,17.87967503592622,14.260001058218834,14.375941145505405,0.11764812310350485,0.14214956962827536,0.0,0.0,0.09032882830847425,0.099951694831004,16932.4283108706,0.0,0.0,604530.7802738537,0.0,3115246.206150662,0.0,29948320.02643078,0.0,0.0,2687714.530658659,13264114.588552032,13622781.737040423,9833427.516610189,4561823.570410369,1586868.1485596379,750477.7605017049,6323558.622847754,6130215.8949700989,27209990.168221065,840603.2505888236 
 03/02  03:00:00,15.05354020708613,14.323469581818526,14.259998813439307,17.696332526572584,14.260000333383266,14.27022494435165,0.13125169741250349,0.12066430467596282,0.0,0.0,0.0772450409065494,0.12025504755499886,17596.169815393292,0.0,624974.3327339746,2216550.4694702799,0.0,4102289.1638945958,879598.58702475,28358152.00870565,0.0,0.0,2429029.1670508559,12799898.368414486,12357122.565272736,9833427.516610189,4561823.570410369,1586868.1485596379,750477.7605017049,6323558.622847754,6130215.8949700989,25540640.333840457,795786.9345520351 
