Date/Time,Electricity:Facility [J](Monthly),Heating:Electricity [J](Monthly),Cooling:Electricity [J](Monthly),InteriorLights:Electricity [J](Monthly),InteriorEquipment:Electricity [J](Monthly),Pumps:Electricity [J](Monthly),Fans:Electricity [J](Monthly) 
January,82164250524.02007,0.0,13000849760.337683,42606064191.18677,4511786929.434716,330889236.7139369,21714660406.34214 
February,83673794135.75555,0.0,20961439287.767488,38482896688.814029,4075162387.8764555,541054113.9536836,19613241657.341287 
March,106927825179.58737,0.0,36964938990.63351,42606064191.18677,4511786929.434716,1130374661.9845327,21714660406.34214 
April,116609914077.25317,0.0,48041964201.752,41231675023.72919,4366245415.58191,1955841946.1791685,21014187490.008523 
May,129379004633.63779,0.0,57886870168.56103,42606064191.18677,4511786929.434716,2659622938.1089656,21714660406.34214 
June,138638003234.45734,0.0,68616209419.70227,41231675023.72919,4366245415.58191,3409685885.4319126,21014187490.008523 
July,151979311617.46237,0.0,79072052123.93863,42606064191.18677,4511786929.434716,4074747966.556902,21714660406.34214 
August,155259082946.44955,0.0,82093664169.26668,42606064191.18677,4511786929.434716,4332907250.216294,21714660406.34214 
September,131610309959.30978,0.0,61952941195.6643,41231675023.72919,4366245415.58191,3045260834.3255279,21014187490.008523 
October,120981340112.76643,0.0,50107947349.4336,42606064191.18677,4511786929.434716,2040881236.36987,21714660406.34214 
November,100348497649.6736,0.0,32770305107.28048,41231675023.72919,4366245415.58191,966084613.070681,21014187490.008523 
December,90426758460.78647,0.0,21069199598.28159,42606064191.18677,4511786929.434716,525047335.537024,21714660406.34214 
