Time,VAV WITH PFP BOXES AND REHEAT:DesPer 1:Des Heat Mass Flow [kg/s],VAV WITH PFP BOXES AND REHEAT:DesPer 1:Des Heat Cap [W],VAV WITH PFP BOXES AND REHEAT:DesPer 1:Des Cool Mass Flow [kg/s],VAV WITH PFP BOXES AND REHEAT:DesPer 1:Des Sens Cool Cap [W],VAV WITH PFP BOXES AND REHEAT:DesPer 1:Des Tot Cool Cap [W],VAV WITH PFP BOXES AND REHEAT 1:DesPer 1:Des Heat Mass Flow [kg/s],VAV WITH PFP BOXES AND REHEAT 1:DesPer 1:Des Heat Cap [W],VAV WITH PFP BOXES AND REHEAT 1:DesPer 1:Des Cool Mass Flow [kg/s],VAV WITH PFP BOXES AND REHEAT 1:DesPer 1:Des Sens Cool Cap [W],VAV WITH PFP BOXES AND REHEAT 1:DesPer 1:Des Tot Cool Cap [W],VAV WITH PFP BOXES AND REHEAT 2:DesPer 1:Des Heat Mass Flow [kg/s],VAV WITH PFP BOXES AND REHEAT 2:DesPer 1:Des Heat Cap [W],VAV WITH PFP BOXES AND REHEAT 2:DesPer 1:Des Cool Mass Flow [kg/s],VAV WITH PFP BOXES AND REHEAT 2:DesPer 1:Des Sens Cool Cap [W],VAV WITH PFP BOXES AND REHEAT 2:DesPer 1:Des Tot Cool Cap [W],VAV WITH PFP BOXES AND REHEAT 3:DesPer 1:Des Heat Mass Flow [kg/s],VAV WITH PFP BOXES AND REHEAT 3:DesPer 1:Des Heat Cap [W],VAV WITH PFP BOXES AND REHEAT 3:DesPer 1:Des Cool Mass Flow [kg/s],VAV WITH PFP BOXES AND REHEAT 3:DesPer 1:Des Sens Cool Cap [W],VAV WITH PFP BOXES AND REHEAT 3:DesPer 1:Des Tot Cool Cap [W],VAV WITH PFP BOXES AND REHEAT 4:DesPer 1:Des Heat Mass Flow [kg/s],VAV WITH PFP BOXES AND REHEAT 4:DesPer 1:Des Heat Cap [W],VAV WITH PFP BOXES AND REHEAT 4:DesPer 1:Des Cool Mass Flow [kg/s],VAV WITH PFP BOXES AND REHEAT 4:DesPer 1:Des Sens Cool Cap [W],VAV WITH PFP BOXES AND REHEAT 4:DesPer 1:Des Tot Cool Cap [W],VAV WITH PFP BOXES AND REHEAT 5:DesPer 1:Des Heat Mass Flow [kg/s],VAV WITH PFP BOXES AND REHEAT 5:DesPer 1:Des Heat Cap [W],VAV WITH PFP BOXES AND REHEAT 5:DesPer 1:Des Cool Mass Flow [kg/s],VAV WITH PFP BOXES AND REHEAT 5:DesPer 1:Des Sens Cool Cap [W],VAV WITH PFP BOXES AND REHEAT 5:DesPer 1:Des Tot Cool Cap [W]
00:03:00,6.722861E-01,0.000000E+00,6.722861E-01,9.310126E+03,1.963081E+04,1.233464E+00,0.000000E+00,1.233464E+00,1.708157E+04,3.601726E+04,6.189474E-01,0.000000E+00,6.189474E-01,8.571468E+03,1.807332E+04,1.220446E-01,0.000000E+00,1.220446E-01,1.690129E+03,3.563713E+03,4.010298E-01,0.000000E+00,4.010298E-01,5.553645E+03,1.171011E+04,3.975013E-01,0.000000E+00,3.975013E-01,5.504780E+03,1.160707E+04
00:06:00,6.722861E-01,0.000000E+00,6.722861E-01,9.290873E+03,1.961104E+04,1.233464E+00,0.000000E+00,1.233464E+00,1.704625E+04,3.598098E+04,6.189474E-01,0.000000E+00,6.189474E-01,8.553742E+03,1.805512E+04,1.220446E-01,0.000000E+00,1.220446E-01,1.686634E+03,3.560124E+03,4.010298E-01,0.000000E+00,4.010298E-01,5.542160E+03,1.169831E+04,3.975013E-01,0.000000E+00,3.975013E-01,5.493396E+03,1.159538E+04
00:09:00,6.722861E-01,0.000000E+00,6.722861E-01,9.271619E+03,1.959127E+04,1.233464E+00,0.000000E+00,1.233464E+00,1.701092E+04,3.594471E+04,6.189474E-01,0.000000E+00,6.189474E-01,8.536017E+03,1.803692E+04,1.220446E-01,0.000000E+00,1.220446E-01,1.683139E+03,3.556535E+03,4.010298E-01,0.000000E+00,4.010298E-01,5.530675E+03,1.168652E+04,3.975013E-01,0.000000E+00,3.975013E-01,5.482012E+03,1.158370E+04
00:12:00,6.722861E-01,0.000000E+00,6.722861E-01,9.252366E+03,1.957150E+04,1.233464E+00,0.000000E+00,1.233464E+00,1.697560E+04,3.590844E+04,6.189474E-01,0.000000E+00,6.189474E-01,8.518291E+03,1.801872E+04,1.220446E-01,0.000000E+00,1.220446E-01,1.679644E+03,3.552946E+03,4.010298E-01,0.000000E+00,4.010298E-01,5.519191E+03,1.167473E+04,3.975013E-01,0.000000E+00,3.975013E-01,5.470629E+03,1.157201E+04
00:15:00,6.722861E-01,0.000000E+00,6.722861E-01,9.233113E+03,1.955175E+04,1.233464E+00,0.000000E+00,1.233464E+00,1.694028E+04,3.587219E+04,6.189474E-01,0.000000E+00,6.189474E-01,8.500565E+03,1.800053E+04,1.220446E-01,0.000000E+00,1.220446E-01,1.676149E+03,3.549359E+03,4.010298E-01,0.000000E+00,4.010298E-01,5.507706E+03,1.166294E+04,3.975013E-01,0.000000E+00,3.975013E-01,5.459245E+03,1.156032E+04
00:18:00,6.722861E-01,0.000000E+00,6.722861E-01,9.213860E+03,1.953198E+04,1.233464E+00,0.000000E+00,1.233464E+00,1.690495E+04,3.583592E+04,6.189474E-01,0.000000E+00,6.189474E-01,8.482840E+03,1.798233E+04,1.220446E-01,0.000000E+00,1.220446E-01,1.672653E+03,3.545770E+03,4.010298E-01,0.000000E+00,4.010298E-01,5.496221E+03,1.165115E+04,3.975013E-01,0.000000E+00,3.975013E-01,5.447861E+03,1.154863E+04
00:21:00,6.722861E-01,0.000000E+00,6.722861E-01,9.194606E+03,1.951221E+04,1.233464E+00,0.000000E+00,1.233464E+00,1.686963E+04,3.579965E+04,6.189474E-01,0.000000E+00,6.189474E-01,8.465114E+03,1.796413E+04,1.220446E-01,0.000000E+00,1.220446E-01,1.669158E+03,3.542182E+03,4.010298E-01,0.000000E+00,4.010298E-01,5.484736E+03,1.163936E+04,3.975013E-01,0.000000E+00,3.975013E-01,5.436477E+03,1.153695E+04
00:24:00,6.722861E-01,0.000000E+00,6.722861E-01,9.175353E+03,1.949244E+04,1.233464E+00,0.000000E+00,1.233464E+00,1.683430E+04,3.576337E+04,6.189474E-01,0.000000E+00,6.189474E-01,8.447388E+03,1.794592E+04,1.220446E-01,0.000000E+00,1.220446E-01,1.665663E+03,3.538592E+03,4.010298E-01,0.000000E+00,4.010298E-01,5.473251E+03,1.162756E+04,3.975013E-01,0.000000E+00,3.975013E-01,5.425093E+03,1.152526E+04
00:27:00,6.722861E-01,0.000000E+00,6.722861E-01,9.156100E+03,1.947267E+04,1.233464E+00,0.000000E+00,1.233464E+00,1.679898E+04,3.572710E+04,6.189474E-01,0.000000E+00,6.189474E-01,8.429662E+03,1.792772E+04,1.220446E-01,0.000000E+00,1.220446E-01,1.662168E+03,3.535004E+03,4.010298E-01,0.000000E+00,4.010298E-01,5.461766E+03,1.161577E+04,3.975013E-01,0.000000E+00,3.975013E-01,5.413710E+03,1.151357E+04
00:30:00,6.722861E-01,0.000000E+00,6.722861E-01,9.136847E+03,1.945291E+04,1.233464E+00,0.000000E+00,1.233464E+00,1.676365E+04,3.569085E+04,6.189474E-01,0.000000E+00,6.189474E-01,8.411937E+03,1.790953E+04,1.220446E-01,0.000000E+00,1.220446E-01,1.658673E+03,3.531417E+03,4.010298E-01,0.000000E+00,4.010298E-01,5.450281E+03,1.160399E+04,3.975013E-01,0.000000E+00,3.975013E-01,5.402326E+03,1.150188E+04
00:33:00,6.722861E-01,0.000000E+00,6.722861E-01,9.117593E+03,1.943314E+04,1.233464E+00,0.000000E+00,1.233464E+00,1.672833E+04,3.565458E+04,6.189474E-01,0.000000E+00,6.189474E-01,8.394211E+03,1.789133E+04,1.220446E-01,0.000000E+00,1.220446E-01,1.655178E+03,3.527828E+03,4.010298E-01,0.000000E+00,4.010298E-01,5.438796E+03,1.159219E+04,3.975013E-01,0.000000E+00,3.975013E-01,5.390942E+03,1.149020E+04
00:36:00,6.722861E-01,0.000000E+00,6.722861E-01,9.098340E+03,1.941337E+04,1.233464E+00,0.000000E+00,1.233464E+00,1.669300E+04,3.561831E+04,6.189474E-01,0.000000E+00,6.189474E-01,8.376485E+03,1.787313E+04,1.220446E-01,0.000000E+00,1.220446E-01,1.651682E+03,3.524239E+03,4.010298E-01,0.000000E+00,4.010298E-01,5.427312E+03,1.158040E+04,3.975013E-01,0.000000E+00,3.975013E-01,5.379558E+03,1.147851E+04
00:39:00,6.722861E-01,0.000000E+00,6.722861E-01,9.079087E+03,1.939360E+04,1.233464E+00,0.000000E+00,1.233464E+00,1.665768E+04,3.558204E+04,6.189474E-01,0.000000E+00,6.189474E-01,8.358760E+03,1.785493E+04,1.220446E-01,0.000000E+00,1.220446E-01,1.648187E+03,3.520650E+03,4.010298E-01,0.000000E+00,4.010298E-01,5.415827E+03,1.156861E+04,3.975013E-01,0.000000E+00,3.975013E-01,5.368174E+03,1.146682E+04
00:42:00,6.722861E-01,0.000000E+00,6.722861E-01,9.059834E+03,1.937384E+04,1.233464E+00,0.000000E+00,1.233464E+00,1.662236E+04,3.554579E+04,6.189474E-01,0.000000E+00,6.189474E-01,8.341034E+03,1.783674E+04,1.220446E-01,0.000000E+00,1.220446E-01,1.644692E+03,3.517063E+03,4.010298E-01,0.000000E+00,4.010298E-01,5.404342E+03,1.155682E+04,3.975013E-01,0.000000E+00,3.975013E-01,5.356790E+03,1.145513E+04
00:45:00,6.722861E-01,0.000000E+00,6.722861E-01,9.040580E+03,1.935407E+04,1.233464E+00,0.000000E+00,1.233464E+00,1.658703E+04,3.550951E+04,6.189474E-01,0.000000E+00,6.189474E-01,8.323308E+03,1.781854E+04,1.220446E-01,0.000000E+00,1.220446E-01,1.641197E+03,3.513474E+03,4.010298E-01,0.000000E+00,4.010298E-01,5.392857E+03,1.154503E+04,3.975013E-01,0.000000E+00,3.975013E-01,5.345407E+03,1.144345E+04
00:48:00,6.722861E-01,0.000000E+00,6.722861E-01,9.021327E+03,1.933430E+04,1.233464E+00,0.000000E+00,1.233464E+00,1.655171E+04,3.547324E+04,6.189474E-01,0.000000E+00,6.189474E-01,8.305582E+03,1.780034E+04,1.220446E-01,0.000000E+00,1.220446E-01,1.637702E+03,3.509885E+03,4.010298E-01,0.000000E+00,4.010298E-01,5.381372E+03,1.153323E+04,3.975013E-01,0.000000E+00,3.975013E-01,5.334023E+03,1.143176E+04
00:51:00,6.722861E-01,0.000000E+00,6.722861E-01,9.002074E+03,1.931453E+04,1.233464E+00,0.000000E+00,1.233464E+00,1.651638E+04,3.543697E+04,6.189474E-01,0.000000E+00,6.189474E-01,8.287857E+03,1.778214E+04,1.220446E-01,0.000000E+00,1.220446E-01,1.634207E+03,3.506296E+03,4.010298E-01,0.000000E+00,4.010298E-01,5.369887E+03,1.152144E+04,3.975013E-01,0.000000E+00,3.975013E-01,5.322639E+03,1.142007E+04
00:54:00,6.722861E-01,0.000000E+00,6.722861E-01,8.982821E+03,1.929476E+04,1.233464E+00,0.000000E+00,1.233464E+00,1.648106E+04,3.540070E+04,6.189474E-01,0.000000E+00,6.189474E-01,8.270131E+03,1.776393E+04,1.220446E-01,0.000000E+00,1.220446E-01,1.630711E+03,3.502707E+03,4.010298E-01,0.000000E+00,4.010298E-01,5.358402E+03,1.150965E+04,3.975013E-01,0.000000E+00,3.975013E-01,5.311255E+03,1.140838E+04
