Time,PACKAGED ROOFTOP AIR CONDITIONER:DesPer 1:Des Heat Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 1:Des Heat Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 1:Des Cool Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 1:Des Sens Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 1:Des Tot Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 2:Des Heat Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 2:Des Heat Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 2:Des Cool Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 2:Des Sens Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 2:Des Tot Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 3:Des Heat Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 3:Des Heat Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 3:Des Cool Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 3:Des Sens Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 3:Des Tot Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 4:Des Heat Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 4:Des Heat Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 4:Des Cool Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 4:Des Sens Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 4:Des Tot Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 5:Des Heat Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 5:Des Heat Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 5:Des Cool Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 5:Des Sens Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 5:Des Tot Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 6:Des Heat Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 6:Des Heat Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 6:Des Cool Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 6:Des Sens Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 6:Des Tot Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 7:Des Heat Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 7:Des Heat Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 7:Des Cool Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 7:Des Sens Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 7:Des Tot Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER 1:DesPer 1:Des Heat Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER 1:DesPer 1:Des Heat Cap [W],PACKAGED ROOFTOP AIR CONDITIONER 1:DesPer 1:Des Cool Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER 1:DesPer 1:Des Sens Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER 1:DesPer 1:Des Tot Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER 1:DesPer 2:Des Heat Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER 1:DesPer 2:Des Heat Cap [W],PACKAGED ROOFTOP AIR CONDITIONER 1:DesPer 2:Des Cool Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER 1:DesPer 2:Des Sens Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER 1:DesPer 2:Des Tot Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER 1:DesPer 3:Des Heat Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER 1:DesPer 3:Des Heat Cap [W],PACKAGED ROOFTOP AIR CONDITIONER 1:DesPer 3:Des Cool Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER 1:DesPer 3:Des Sens Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER 1:DesPer 3:Des Tot Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER 1:DesPer 4:Des Heat Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER 1:DesPer 4:Des Heat Cap [W],PACKAGED ROOFTOP AIR CONDITIONER 1:DesPer 4:Des Cool Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER 1:DesPer 4:Des Sens Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER 1:DesPer 4:Des Tot Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER 1:DesPer 5:Des Heat Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER 1:DesPer 5:Des Heat Cap [W],PACKAGED ROOFTOP AIR CONDITIONER 1:DesPer 5:Des Cool Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER 1:DesPer 5:Des Sens Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER 1:DesPer 5:Des Tot Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER 1:DesPer 6:Des Heat Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER 1:DesPer 6:Des Heat Cap [W],PACKAGED ROOFTOP AIR CONDITIONER 1:DesPer 6:Des Cool Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER 1:DesPer 6:Des Sens Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER 1:DesPer 6:Des Tot Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER 1:DesPer 7:Des Heat Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER 1:DesPer 7:Des Heat Cap [W],PACKAGED ROOFTOP AIR CONDITIONER 1:DesPer 7:Des Cool Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER 1:DesPer 7:Des Sens Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER 1:DesPer 7:Des Tot Cool Cap [W]
01:00:00,3.414822E-02,4.790252E+02,1.272430E-01,1.692883E+03,3.644423E+03,3.414822E-02,7.226555E+02,1.272430E-01,7.850681E+02,2.656849E+03,3.414822E-02,5.853990E+02,1.272430E-01,1.296513E+03,4.507164E+03,3.414822E-02,5.888304E+02,1.272430E-01,1.283727E+03,4.457009E+03,2.905985E-01,1.352008E+04,1.272430E-01,0.000000E+00,0.000000E+00,2.630521E-01,9.780215E+03,1.272430E-01,0.000000E+00,0.000000E+00,2.088640E-01,8.940836E+03,1.272430E-01,0.000000E+00,0.000000E+00,5.901043E-02,8.277880E+02,3.177441E-01,4.227372E+03,9.100647E+03,5.901043E-02,1.248798E+03,1.885247E-01,1.163166E+03,3.936418E+03,5.901043E-02,1.011609E+03,2.477118E-01,2.524001E+03,8.774373E+03,5.901043E-02,1.017539E+03,2.470425E-01,2.492357E+03,8.653289E+03,1.987284E-01,9.245827E+03,1.272430E-01,0.000000E+00,0.000000E+00,1.389191E-01,5.164981E+03,1.272430E-01,0.000000E+00,0.000000E+00,1.792796E-01,7.674418E+03,1.272430E-01,0.000000E+00,0.000000E+00
02:00:00,3.414822E-02,4.920646E+02,1.272430E-01,1.644296E+03,3.594539E+03,3.414822E-02,7.356949E+02,1.272430E-01,7.364808E+02,2.496493E+03,3.414822E-02,5.984384E+02,1.272430E-01,1.247926E+03,4.317707E+03,3.414822E-02,6.018698E+02,1.272430E-01,1.235140E+03,4.268357E+03,3.057019E-01,1.422277E+04,1.272430E-01,0.000000E+00,0.000000E+00,2.711763E-01,1.008227E+04,1.272430E-01,0.000000E+00,0.000000E+00,2.210462E-01,9.462321E+03,1.272430E-01,0.000000E+00,0.000000E+00,5.901043E-02,8.503209E+02,3.999770E-01,5.168695E+03,1.129911E+04,5.901043E-02,1.271331E+03,1.972517E-01,1.141690E+03,3.870054E+03,5.901043E-02,1.034142E+03,3.027062E-01,2.968767E+03,1.027166E+04,5.901043E-02,1.040072E+03,2.956904E-01,2.870247E+03,9.918908E+03,1.900121E-01,8.840305E+03,1.272430E-01,0.000000E+00,0.000000E+00,1.421221E-01,5.284066E+03,1.272430E-01,0.000000E+00,0.000000E+00,1.735150E-01,7.427652E+03,1.272430E-01,0.000000E+00,0.000000E+00
03:00:00,3.414822E-02,5.018441E+02,1.272430E-01,1.607855E+03,3.557127E+03,3.414822E-02,7.454744E+02,1.272430E-01,7.000403E+02,2.377840E+03,3.414822E-02,6.082179E+02,1.272430E-01,1.211485E+03,4.177610E+03,3.414822E-02,6.116493E+02,1.272430E-01,1.198699E+03,4.128853E+03,3.153231E-01,1.467039E+04,1.272430E-01,0.000000E+00,0.000000E+00,2.818969E-01,1.048086E+04,1.272430E-01,0.000000E+00,0.000000E+00,2.310830E-01,9.891963E+03,1.272430E-01,0.000000E+00,0.000000E+00,5.901043E-02,8.672206E+02,2.931178E-01,3.703865E+03,8.194221E+03,5.901043E-02,1.288230E+03,1.534248E-01,8.440818E+02,2.867108E+03,5.901043E-02,1.051042E+03,2.408494E-01,2.293136E+03,7.907506E+03,5.901043E-02,1.056971E+03,2.367889E-01,2.230681E+03,7.683459E+03,1.511965E-01,7.034410E+03,1.272430E-01,0.000000E+00,0.000000E+00,1.118490E-01,4.158519E+03,1.272430E-01,0.000000E+00,0.000000E+00,1.360800E-01,5.825174E+03,1.272430E-01,0.000000E+00,0.000000E+00
04:00:00,3.414822E-02,5.116236E+02,1.272430E-01,1.571415E+03,3.519714E+03,3.414822E-02,7.552540E+02,1.272430E-01,6.635999E+02,2.260548E+03,3.414822E-02,6.179974E+02,1.272430E-01,1.175045E+03,4.039196E+03,3.414822E-02,6.214289E+02,1.272430E-01,1.162259E+03,3.991024E+03,3.185103E-01,1.481868E+04,1.272430E-01,0.000000E+00,0.000000E+00,2.855780E-01,1.061772E+04,1.272430E-01,0.000000E+00,0.000000E+00,2.345366E-01,1.003980E+04,1.272430E-01,0.000000E+00,0.000000E+00,5.901043E-02,8.841203E+02,2.241390E-01,2.768052E+03,6.199988E+03,5.901043E-02,1.305130E+03,1.308705E-01,6.825181E+02,2.324993E+03,5.901043E-02,1.067941E+03,1.820596E-01,1.681257E+03,5.779292E+03,5.901043E-02,1.073871E+03,1.789143E-01,1.634233E+03,5.611712E+03,1.351656E-01,6.288573E+03,1.272430E-01,0.000000E+00,0.000000E+00,1.022540E-01,3.801781E+03,1.272430E-01,0.000000E+00,0.000000E+00,1.222376E-01,5.232620E+03,1.272430E-01,0.000000E+00,0.000000E+00
05:00:00,3.414822E-02,5.181433E+02,1.272430E-01,1.547121E+03,3.494772E+03,3.414822E-02,7.617736E+02,1.272430E-01,6.393063E+02,2.183099E+03,3.414822E-02,6.245171E+02,1.272430E-01,1.150751E+03,3.947843E+03,3.414822E-02,6.279485E+02,1.272430E-01,1.137965E+03,3.900056E+03,3.199735E-01,1.488675E+04,1.272430E-01,0.000000E+00,0.000000E+00,2.874375E-01,1.068686E+04,1.272430E-01,0.000000E+00,0.000000E+00,2.363570E-01,1.011773E+04,1.272430E-01,0.000000E+00,0.000000E+00,5.901043E-02,8.953867E+02,1.909648E-01,2.321901E+03,5.244912E+03,5.901043E-02,1.316396E+03,1.272430E-01,6.393063E+02,2.183099E+03,5.901043E-02,1.079208E+03,1.523444E-01,1.377762E+03,4.726639E+03,5.901043E-02,1.085138E+03,1.497007E-01,1.338809E+03,4.588392E+03,1.273501E-01,5.924956E+03,1.272430E-01,0.000000E+00,0.000000E+00,9.809307E-02,3.647078E+03,1.272430E-01,0.000000E+00,0.000000E+00,1.159651E-01,4.964115E+03,1.272430E-01,0.000000E+00,0.000000E+00
06:00:00,3.414822E-02,5.116236E+02,1.272430E-01,1.571415E+03,3.519714E+03,3.414822E-02,7.552540E+02,1.272430E-01,6.635999E+02,2.260548E+03,3.414822E-02,6.179974E+02,1.272430E-01,1.175045E+03,4.039196E+03,3.414822E-02,6.214289E+02,1.272430E-01,1.162259E+03,3.991024E+03,3.211113E-01,1.493969E+04,1.272430E-01,0.000000E+00,0.000000E+00,2.885354E-01,1.072768E+04,1.272430E-01,0.000000E+00,0.000000E+00,2.373063E-01,1.015837E+04,1.272430E-01,0.000000E+00,0.000000E+00,5.901043E-02,8.841203E+02,1.667592E-01,2.059428E+03,4.612784E+03,5.901043E-02,1.305130E+03,1.272430E-01,6.635999E+02,2.260548E+03,5.901043E-02,1.067941E+03,1.348290E-01,1.245099E+03,4.280006E+03,5.901043E-02,1.073871E+03,1.337496E-01,1.221691E+03,4.195104E+03,1.235218E-01,5.746844E+03,1.272430E-01,0.000000E+00,0.000000E+00,9.549435E-02,3.550458E+03,1.272430E-01,0.000000E+00,0.000000E+00,1.122039E-01,4.803109E+03,1.272430E-01,0.000000E+00,0.000000E+00
07:00:00,3.414822E-02,4.888048E+02,1.272430E-01,1.656442E+03,3.607010E+03,3.414822E-02,7.324351E+02,1.272430E-01,7.486276E+02,2.536350E+03,3.414822E-02,5.951786E+02,1.272430E-01,1.260073E+03,4.364784E+03,3.414822E-02,5.986100E+02,1.272430E-01,1.247286E+03,4.315234E+03,3.221718E-01,1.498903E+04,1.272430E-01,0.000000E+00,0.000000E+00,2.892150E-01,1.075295E+04,1.272430E-01,0.000000E+00,0.000000E+00,2.379448E-01,1.018570E+04,1.272430E-01,0.000000E+00,0.000000E+00,5.901043E-02,8.446877E+02,1.612057E-01,2.098566E+03,4.569762E+03,5.901043E-02,1.265697E+03,1.272430E-01,7.486276E+02,2.536350E+03,5.901043E-02,1.028509E+03,1.346496E-01,1.333419E+03,4.618849E+03,5.901043E-02,1.034438E+03,1.336620E-01,1.310208E+03,4.532922E+03,1.210069E-01,5.629839E+03,1.272430E-01,0.000000E+00,0.000000E+00,9.370702E-02,3.484005E+03,1.272430E-01,0.000000E+00,0.000000E+00,1.097200E-01,4.696783E+03,1.272430E-01,0.000000E+00,0.000000E+00
08:00:00,3.414822E-02,4.333874E+02,1.272430E-01,1.862938E+03,3.819017E+03,3.414822E-02,6.770177E+02,1.272430E-01,9.551235E+02,3.238176E+03,3.414822E-02,5.397612E+02,1.272430E-01,1.466569E+03,5.195089E+03,3.414822E-02,5.431926E+02,1.272430E-01,1.453782E+03,4.684996E+03,3.228834E-01,1.502213E+04,1.272430E-01,0.000000E+00,0.000000E+00,2.896989E-01,1.077094E+04,1.272430E-01,0.000000E+00,0.000000E+00,2.382204E-01,1.019750E+04,1.272430E-01,0.000000E+00,0.000000E+00,5.901043E-02,7.489228E+02,1.621075E-01,2.373382E+03,4.865425E+03,5.901043E-02,1.169932E+03,1.272430E-01,9.551235E+02,3.238176E+03,5.901043E-02,9.327439E+02,1.327052E-01,1.529524E+03,5.418098E+03,5.901043E-02,9.386736E+02,1.317537E-01,1.505318E+03,4.851077E+03,1.192303E-01,5.547182E+03,1.272430E-01,0.000000E+00,0.000000E+00,9.238738E-02,3.434941E+03,1.272430E-01,0.000000E+00,0.000000E+00,1.079581E-01,4.621361E+03,1.272430E-01,0.000000E+00,0.000000E+00
09:00:00,3.414822E-02,3.714504E+02,1.620201E-01,2.665969E+03,5.164507E+03,3.414822E-02,6.150807E+02,1.272430E-01,1.185913E+03,4.080303E+03,3.414822E-02,4.778242E+02,1.272430E-01,1.697358E+03,6.194442E+03,3.414822E-02,4.812556E+02,1.272430E-01,1.684572E+03,4.923638E+03,3.232817E-01,1.504067E+04,1.272430E-01,0.000000E+00,0.000000E+00,2.900446E-01,1.078379E+04,1.272430E-01,0.000000E+00,0.000000E+00,2.385536E-01,1.021176E+04,1.272430E-01,0.000000E+00,0.000000E+00,5.901043E-02,6.418915E+02,1.740773E-01,2.864364E+03,5.548838E+03,5.901043E-02,1.062901E+03,1.272430E-01,1.185913E+03,4.080303E+03,5.901043E-02,8.257126E+02,1.375620E-01,1.835008E+03,6.696791E+03,5.901043E-02,8.316423E+02,1.355325E-01,1.794317E+03,5.244398E+03,1.179035E-01,5.485456E+03,1.272430E-01,0.000000E+00,0.000000E+00,9.136887E-02,3.397073E+03,1.272430E-01,0.000000E+00,0.000000E+00,1.066376E-01,4.564835E+03,1.272430E-01,0.000000E+00,0.000000E+00
10:00:00,3.414822E-02,3.160331E+02,3.632572E-01,6.566748E+03,1.218433E+04,3.414822E-02,5.596634E+02,1.272430E-01,1.392409E+03,4.779031E+03,3.414822E-02,4.224069E+02,1.272430E-01,1.903854E+03,7.158391E+03,3.414822E-02,4.258383E+02,1.272430E-01,1.891068E+03,5.137161E+03,3.236399E-01,1.505733E+04,1.272430E-01,0.000000E+00,0.000000E+00,2.903039E-01,1.079343E+04,1.272430E-01,0.000000E+00,0.000000E+00,2.389302E-01,1.022788E+04,1.272430E-01,0.000000E+00,0.000000E+00,5.901043E-02,5.461266E+02,1.939332E-01,3.505809E+03,6.504884E+03,5.901043E-02,9.671362E+02,1.272430E-01,1.392409E+03,4.779031E+03,5.901043E-02,7.299477E+02,1.565648E-01,2.342576E+03,8.807962E+03,5.901043E-02,7.358774E+02,1.544858E-01,2.295946E+03,6.237028E+03,1.168741E-01,5.437560E+03,1.272430E-01,0.000000E+00,0.000000E+00,9.055423E-02,3.366785E+03,1.272430E-01,0.000000E+00,0.000000E+00,1.056095E-01,4.520822E+03,1.272430E-01,0.000000E+00,0.000000E+00
