Time,THERMAL ZONE 1:ATLANTA HARTSFIELD INTL AP ANN HTG WIND 99.6% CONDNS WS=>MCDB:Des Heat Load [W],THERMAL ZONE 1:ATLANTA HARTSFIELD INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 1:ATLANTA HARTSFIELD INTL AP ANN HTG WIND 99.6% CONDNS WS=>MCDB:Des Heat Mass Flow [kg/s],THERMAL ZONE 1:ATLANTA HARTSFIELD INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 2:ATLANTA HARTSFIELD INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 2:ATLANTA HARTSFIELD INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 2:ATLANTA HARTSFIELD INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 2:ATLANTA HARTSFIELD INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 3:ATLANTA HARTSFIELD INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 3:ATLANTA HARTSFIELD INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 3:ATLANTA HARTSFIELD INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 3:ATLANTA HARTSFIELD INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 4:ATLANTA HARTSFIELD INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 4:ATLANTA HARTSFIELD INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 4:ATLANTA HARTSFIELD INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 4:ATLANTA HARTSFIELD INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 5:ATLANTA HARTSFIELD INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 5:ATLANTA HARTSFIELD INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 5:ATLANTA HARTSFIELD INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 5:ATLANTA HARTSFIELD INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 6:ATLANTA HARTSFIELD INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 6:ATLANTA HARTSFIELD INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 6:ATLANTA HARTSFIELD INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 6:ATLANTA HARTSFIELD INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 7:ATLANTA HARTSFIELD INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 7:ATLANTA HARTSFIELD INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 7:ATLANTA HARTSFIELD INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 7:ATLANTA HARTSFIELD INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 8::Des Heat Load [W],THERMAL ZONE 8::Des Sens Cool Load [W],THERMAL ZONE 8::Des Heat Mass Flow [kg/s],THERMAL ZONE 8::Des Cool Mass Flow [kg/s]
01:00:00,1.267818E+04,0.000000E+00,2.395221E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.983978E+03,5.341788E+02,4.647519E-02,5.173541E-02,2.290708E+03,9.992008E+02,5.374947E-02,9.556927E-02,2.320741E+03,8.615208E+02,5.446374E-02,8.048049E-02,1.881829E+03,4.936921E+02,4.403995E-02,4.851405E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
02:00:00,1.313261E+04,0.000000E+00,2.476463E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.797251E+03,4.268586E+02,4.299592E-02,4.816069E-02,2.213517E+03,1.217699E+03,5.295155E-02,1.360473E-01,2.237002E+03,1.083529E+03,5.351299E-02,1.211866E-01,1.695039E+03,3.755977E+02,4.055166E-02,4.241154E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
03:00:00,1.370516E+04,0.000000E+00,2.583669E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.409972E+03,2.755980E+02,3.372485E-02,3.106450E-02,1.794161E+03,9.270956E+02,4.291420E-02,1.043462E-01,1.809821E+03,8.156594E+02,4.328874E-02,9.181280E-02,1.307285E+03,2.389963E+02,3.126870E-02,2.694276E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
04:00:00,1.390075E+04,0.000000E+00,2.620480E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.253812E+03,1.240508E+02,2.998963E-02,1.397606E-02,1.619106E+03,6.694485E+02,3.872701E-02,7.538121E-02,1.627401E+03,5.701230E+02,3.892541E-02,6.419924E-02,1.150709E+03,1.007810E+02,2.752354E-02,1.135574E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
05:00:00,1.399951E+04,0.000000E+00,2.639075E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.176326E+03,5.683633E+01,2.813625E-02,6.402181E-03,1.527554E+03,5.368595E+02,3.653721E-02,6.045917E-02,1.527729E+03,4.464213E+02,3.654138E-02,5.027415E-02,1.072799E+03,3.981652E+01,2.566002E-02,4.485244E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
06:00:00,1.405786E+04,0.000000E+00,2.650054E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.133725E+03,1.569647E+01,2.711730E-02,1.767843E-03,1.472910E+03,4.403367E+02,3.523020E-02,4.958999E-02,1.464918E+03,3.560268E+02,3.503904E-02,4.009492E-02,1.029887E+03,2.683687E+00,2.463361E-02,3.022576E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
07:00:00,1.409394E+04,0.000000E+00,2.656850E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.108392E+03,1.081241E+02,2.651135E-02,1.217736E-02,1.436888E+03,4.352552E+02,3.436859E-02,4.901765E-02,1.421131E+03,3.182275E+02,3.399170E-02,3.583814E-02,1.004228E+03,1.122824E+02,2.401989E-02,1.264602E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
08:00:00,1.411974E+04,0.000000E+00,2.661689E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.092377E+03,1.057113E+02,2.612831E-02,1.190590E-02,1.411306E+03,4.205527E+02,3.375670E-02,4.736315E-02,1.388450E+03,3.398823E+02,3.321001E-02,3.827687E-02,9.878085E+02,1.019175E+02,2.362716E-02,1.147905E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
09:00:00,1.413810E+04,8.150745E+02,2.665146E-01,5.790245E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.081522E+03,1.159787E+02,2.586867E-02,1.306255E-02,1.392220E+03,4.526665E+02,3.330019E-02,5.098082E-02,1.362923E+03,4.001815E+02,3.259943E-02,4.506765E-02,9.766634E+02,1.041869E+02,2.336058E-02,1.173482E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
10:00:00,1.415187E+04,3.324333E+03,2.667738E-01,2.328913E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.073847E+03,1.384199E+02,2.568509E-02,1.559102E-02,1.377309E+03,5.267553E+02,3.294353E-02,5.932630E-02,1.342470E+03,4.793923E+02,3.211021E-02,5.398821E-02,9.687433E+02,1.149708E+02,2.317114E-02,1.295032E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
