Time,PACKAGED ROOFTOP AIR CONDITIONER:DesPer 1:Des Heat Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 1:Des Heat Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 1:Des Cool Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 1:Des Sens Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 1:Des Tot Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 2:Des Heat Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 2:Des Heat Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 2:Des Cool Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 2:Des Sens Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 2:Des Tot Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 3:Des Heat Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 3:Des Heat Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 3:Des Cool Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 3:Des Sens Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 3:Des Tot Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 4:Des Heat Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 4:Des Heat Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 4:Des Cool Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 4:Des Sens Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 4:Des Tot Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 5:Des Heat Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 5:Des Heat Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 5:Des Cool Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 5:Des Sens Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 5:Des Tot Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 6:Des Heat Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 6:Des Heat Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 6:Des Cool Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 6:Des Sens Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 6:Des Tot Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 7:Des Heat Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 7:Des Heat Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 7:Des Cool Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 7:Des Sens Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 7:Des Tot Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER 1:DesPer 1:Des Heat Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER 1:DesPer 1:Des Heat Cap [W],PACKAGED ROOFTOP AIR CONDITIONER 1:DesPer 1:Des Cool Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER 1:DesPer 1:Des Sens Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER 1:DesPer 1:Des Tot Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER 1:DesPer 2:Des Heat Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER 1:DesPer 2:Des Heat Cap [W],PACKAGED ROOFTOP AIR CONDITIONER 1:DesPer 2:Des Cool Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER 1:DesPer 2:Des Sens Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER 1:DesPer 2:Des Tot Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER 1:DesPer 3:Des Heat Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER 1:DesPer 3:Des Heat Cap [W],PACKAGED ROOFTOP AIR CONDITIONER 1:DesPer 3:Des Cool Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER 1:DesPer 3:Des Sens Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER 1:DesPer 3:Des Tot Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER 1:DesPer 4:Des Heat Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER 1:DesPer 4:Des Heat Cap [W],PACKAGED ROOFTOP AIR CONDITIONER 1:DesPer 4:Des Cool Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER 1:DesPer 4:Des Sens Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER 1:DesPer 4:Des Tot Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER 1:DesPer 5:Des Heat Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER 1:DesPer 5:Des Heat Cap [W],PACKAGED ROOFTOP AIR CONDITIONER 1:DesPer 5:Des Cool Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER 1:DesPer 5:Des Sens Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER 1:DesPer 5:Des Tot Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER 1:DesPer 6:Des Heat Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER 1:DesPer 6:Des Heat Cap [W],PACKAGED ROOFTOP AIR CONDITIONER 1:DesPer 6:Des Cool Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER 1:DesPer 6:Des Sens Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER 1:DesPer 6:Des Tot Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER 1:DesPer 7:Des Heat Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER 1:DesPer 7:Des Heat Cap [W],PACKAGED ROOFTOP AIR CONDITIONER 1:DesPer 7:Des Cool Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER 1:DesPer 7:Des Sens Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER 1:DesPer 7:Des Tot Cool Cap [W]
01:00:00,4.913410E-02,6.892446E+02,1.272430E-01,1.692883E+03,3.644423E+03,4.913410E-02,1.039792E+03,1.272430E-01,7.850681E+02,2.656849E+03,4.913410E-02,8.423003E+02,1.272430E-01,1.296513E+03,4.507164E+03,4.913410E-02,8.472376E+02,1.272430E-01,1.283727E+03,4.457009E+03,1.950566E+00,9.075000E+04,1.272430E-01,0.000000E+00,0.000000E+00,1.779641E+00,6.616665E+04,1.272430E-01,0.000000E+00,0.000000E+00,1.420829E+00,6.082141E+04,1.272430E-01,0.000000E+00,0.000000E+00,5.282917E-02,7.410784E+02,3.916573E-01,5.210737E+03,1.121763E+04,5.282917E-02,1.117988E+03,1.844730E-01,1.138167E+03,3.851818E+03,5.282917E-02,9.056446E+02,2.709628E-01,2.760912E+03,9.597963E+03,5.282917E-02,9.109532E+02,2.678876E-01,2.702659E+03,9.383442E+03,2.411176E-01,1.121798E+04,1.272430E-01,0.000000E+00,0.000000E+00,1.693389E-01,6.295980E+03,1.272430E-01,0.000000E+00,0.000000E+00,2.167366E-01,9.277839E+03,1.272430E-01,0.000000E+00,0.000000E+00
02:00:00,4.913410E-02,7.080063E+02,1.272430E-01,1.644296E+03,3.594539E+03,4.913410E-02,1.058553E+03,1.272430E-01,7.364808E+02,2.496493E+03,4.913410E-02,8.610620E+02,1.272430E-01,1.247926E+03,4.317707E+03,4.913410E-02,8.659993E+02,1.272430E-01,1.235140E+03,4.268357E+03,1.953563E+00,9.088942E+04,1.272430E-01,0.000000E+00,0.000000E+00,1.783615E+00,6.631440E+04,1.272430E-01,0.000000E+00,0.000000E+00,1.428568E+00,6.115268E+04,1.272430E-01,0.000000E+00,0.000000E+00,5.282917E-02,7.612511E+02,4.402664E-01,5.689334E+03,1.243726E+04,5.282917E-02,1.138161E+03,2.009524E-01,1.163110E+03,3.942662E+03,5.282917E-02,9.258172E+02,3.252453E-01,3.189817E+03,1.103647E+04,5.282917E-02,9.311258E+02,3.168333E-01,3.075480E+03,1.062815E+04,2.305303E-01,1.072541E+04,1.272430E-01,0.000000E+00,0.000000E+00,1.674074E-01,6.224167E+03,1.272430E-01,0.000000E+00,0.000000E+00,2.082761E-01,8.915671E+03,1.272430E-01,0.000000E+00,0.000000E+00
03:00:00,4.913410E-02,7.220775E+02,1.272430E-01,1.607855E+03,3.557127E+03,4.913410E-02,1.072625E+03,1.272430E-01,7.000403E+02,2.377840E+03,4.913410E-02,8.751333E+02,1.272430E-01,1.211485E+03,4.177610E+03,4.913410E-02,8.800705E+02,1.272430E-01,1.198699E+03,4.128853E+03,1.960399E+00,9.120745E+04,1.272430E-01,0.000000E+00,0.000000E+00,1.792923E+00,6.666047E+04,1.272430E-01,0.000000E+00,0.000000E+00,1.436626E+00,6.149762E+04,1.272430E-01,0.000000E+00,0.000000E+00,5.282917E-02,7.763805E+02,3.066719E-01,3.875136E+03,8.573130E+03,5.282917E-02,1.153290E+03,1.508987E-01,8.301846E+02,2.819903E+03,5.282917E-02,9.409467E+02,2.422602E-01,2.306568E+03,7.953825E+03,5.282917E-02,9.462552E+02,2.383693E-01,2.245570E+03,7.734740E+03,1.906343E-01,8.869252E+03,1.272430E-01,0.000000E+00,0.000000E+00,1.325666E-01,4.928796E+03,1.272430E-01,0.000000E+00,0.000000E+00,1.699391E-01,7.274578E+03,1.272430E-01,0.000000E+00,0.000000E+00
04:00:00,4.913410E-02,7.361488E+02,1.272430E-01,1.571415E+03,3.519714E+03,4.913410E-02,1.086696E+03,1.272430E-01,6.635999E+02,2.260548E+03,4.913410E-02,8.892045E+02,1.272430E-01,1.175045E+03,4.039196E+03,4.913410E-02,8.941418E+02,1.272430E-01,1.162259E+03,3.991024E+03,1.963108E+00,9.133351E+04,1.272430E-01,0.000000E+00,0.000000E+00,1.796104E+00,6.677873E+04,1.272430E-01,0.000000E+00,0.000000E+00,1.438896E+00,6.159478E+04,1.272430E-01,0.000000E+00,0.000000E+00,5.282917E-02,7.915100E+02,2.364219E-01,2.919742E+03,6.539748E+03,5.282917E-02,1.168420E+03,1.272430E-01,6.635999E+02,2.260548E+03,5.282917E-02,9.560761E+02,1.860564E-01,1.718166E+03,5.906164E+03,5.282917E-02,9.613847E+02,1.828974E-01,1.670615E+03,5.736642E+03,1.746223E-01,8.124294E+03,1.272430E-01,0.000000E+00,0.000000E+00,1.182471E-01,4.396399E+03,1.272430E-01,0.000000E+00,0.000000E+00,1.544282E-01,6.610605E+03,1.272430E-01,0.000000E+00,0.000000E+00
05:00:00,4.913410E-02,7.455296E+02,1.272430E-01,1.547121E+03,3.494772E+03,4.913410E-02,1.096077E+03,1.272430E-01,6.393063E+02,2.183099E+03,4.913410E-02,8.985854E+02,1.272430E-01,1.150751E+03,3.947843E+03,4.913410E-02,9.035226E+02,1.272430E-01,1.137965E+03,3.900056E+03,1.965706E+00,9.145437E+04,1.272430E-01,0.000000E+00,0.000000E+00,1.797750E+00,6.683991E+04,1.272430E-01,0.000000E+00,0.000000E+00,1.440418E+00,6.165994E+04,1.272430E-01,0.000000E+00,0.000000E+00,5.282917E-02,8.015963E+02,2.002417E-01,2.434697E+03,5.499706E+03,5.282917E-02,1.178506E+03,1.272430E-01,6.393063E+02,2.183099E+03,5.282917E-02,9.661624E+02,1.531678E-01,1.385208E+03,4.752186E+03,5.282917E-02,9.714710E+02,1.504534E-01,1.345541E+03,4.611465E+03,1.664136E-01,7.742386E+03,1.272430E-01,0.000000E+00,0.000000E+00,1.107143E-01,4.116330E+03,1.272430E-01,0.000000E+00,0.000000E+00,1.464021E-01,6.267029E+03,1.272430E-01,0.000000E+00,0.000000E+00
06:00:00,4.913410E-02,7.361488E+02,1.272430E-01,1.571415E+03,3.519714E+03,4.913410E-02,1.086696E+03,1.272430E-01,6.635999E+02,2.260548E+03,4.913410E-02,8.892045E+02,1.272430E-01,1.175045E+03,4.039196E+03,4.913410E-02,8.941418E+02,1.272430E-01,1.162259E+03,3.991024E+03,1.967051E+00,9.151693E+04,1.272430E-01,0.000000E+00,0.000000E+00,1.798742E+00,6.687682E+04,1.272430E-01,0.000000E+00,0.000000E+00,1.441856E+00,6.172149E+04,1.272430E-01,0.000000E+00,0.000000E+00,5.282917E-02,7.915100E+02,1.738718E-01,2.147266E+03,4.809528E+03,5.282917E-02,1.168420E+03,1.272430E-01,6.635999E+02,2.260548E+03,5.282917E-02,9.560761E+02,1.328784E-01,1.227086E+03,4.218086E+03,5.282917E-02,9.613847E+02,1.316914E-01,1.202891E+03,4.130550E+03,1.616113E-01,7.518956E+03,1.272430E-01,0.000000E+00,0.000000E+00,1.062272E-01,3.949504E+03,1.272430E-01,0.000000E+00,0.000000E+00,1.416719E-01,6.064545E+03,1.272430E-01,0.000000E+00,0.000000E+00
07:00:00,4.913410E-02,7.033158E+02,1.272430E-01,1.656442E+03,3.607010E+03,4.913410E-02,1.053863E+03,1.272430E-01,7.486276E+02,2.536350E+03,4.913410E-02,8.563716E+02,1.272430E-01,1.260073E+03,4.364784E+03,4.913410E-02,8.613089E+02,1.272430E-01,1.247286E+03,4.315234E+03,1.967999E+00,9.156105E+04,1.272430E-01,0.000000E+00,0.000000E+00,1.799355E+00,6.689959E+04,1.272430E-01,0.000000E+00,0.000000E+00,1.442798E+00,6.176180E+04,1.272430E-01,0.000000E+00,0.000000E+00,5.282917E-02,7.562079E+02,1.676395E-01,2.182322E+03,4.752145E+03,5.282917E-02,1.133117E+03,1.272430E-01,7.486276E+02,2.536350E+03,5.282917E-02,9.207740E+02,1.325251E-01,1.312380E+03,4.545972E+03,5.282917E-02,9.260826E+02,1.314625E-01,1.288648E+03,4.458331E+03,1.585222E-01,7.375239E+03,1.272430E-01,0.000000E+00,0.000000E+00,1.033027E-01,3.840772E+03,1.272430E-01,0.000000E+00,0.000000E+00,1.386100E-01,5.933476E+03,1.272430E-01,0.000000E+00,0.000000E+00
08:00:00,4.913410E-02,6.235787E+02,1.272430E-01,1.862938E+03,3.819017E+03,4.913410E-02,9.741258E+02,1.272430E-01,9.551235E+02,3.238176E+03,4.913410E-02,7.766345E+02,1.272430E-01,1.466569E+03,5.195089E+03,4.913410E-02,7.815718E+02,1.272430E-01,1.453782E+03,4.684996E+03,1.968480E+00,9.158345E+04,1.272430E-01,0.000000E+00,0.000000E+00,1.799789E+00,6.691574E+04,1.272430E-01,0.000000E+00,0.000000E+00,1.443323E+00,6.178428E+04,1.272430E-01,0.000000E+00,0.000000E+00,5.282917E-02,6.704743E+02,1.726567E-01,2.527830E+03,5.182042E+03,5.282917E-02,1.047384E+03,1.272430E-01,9.551235E+02,3.238176E+03,5.282917E-02,8.350404E+02,1.321046E-01,1.522602E+03,5.393579E+03,5.282917E-02,8.403490E+02,1.310396E-01,1.497159E+03,4.824782E+03,1.563875E-01,7.275921E+03,1.272430E-01,0.000000E+00,0.000000E+00,1.012583E-01,3.764759E+03,1.272430E-01,0.000000E+00,0.000000E+00,1.364825E-01,5.842403E+03,1.272430E-01,0.000000E+00,0.000000E+00
09:00:00,4.913410E-02,5.344608E+02,9.081778E-01,1.494367E+04,2.894882E+04,4.913410E-02,8.850078E+02,1.272430E-01,1.185913E+03,4.080303E+03,4.913410E-02,6.875165E+02,1.272430E-01,1.697358E+03,6.194442E+03,4.913410E-02,6.924538E+02,1.272430E-01,1.684572E+03,4.923638E+03,1.968980E+00,9.160669E+04,1.272430E-01,0.000000E+00,0.000000E+00,1.800103E+00,6.692742E+04,1.272430E-01,0.000000E+00,0.000000E+00,1.443770E+00,6.180343E+04,1.272430E-01,0.000000E+00,0.000000E+00,5.282917E-02,5.746543E+02,1.955451E-01,3.217609E+03,6.233142E+03,5.282917E-02,9.515638E+02,1.272430E-01,1.185913E+03,4.080303E+03,5.282917E-02,7.392204E+02,1.473845E-01,1.966036E+03,7.174971E+03,5.282917E-02,7.445290E+02,1.450753E-01,1.920654E+03,5.613653E+03,1.548348E-01,7.203681E+03,1.272430E-01,0.000000E+00,0.000000E+00,9.975045E-02,3.708699E+03,1.272430E-01,0.000000E+00,0.000000E+00,1.349241E-01,5.775694E+03,1.272430E-01,0.000000E+00,0.000000E+00
10:00:00,4.913410E-02,4.547237E+02,2.080569E+00,3.761130E+04,6.978620E+04,4.913410E-02,8.052707E+02,1.272430E-01,1.392409E+03,4.779031E+03,4.913410E-02,6.077794E+02,1.272430E-01,1.903854E+03,7.158391E+03,4.913410E-02,6.127167E+02,1.272430E-01,1.891068E+03,5.137161E+03,1.969344E+00,9.162364E+04,1.272430E-01,0.000000E+00,0.000000E+00,1.800335E+00,6.693603E+04,1.272430E-01,0.000000E+00,0.000000E+00,1.444112E+00,6.181806E+04,1.272430E-01,0.000000E+00,0.000000E+00,5.282917E-02,4.889207E+02,2.308301E-01,4.172809E+03,7.742473E+03,5.282917E-02,8.658302E+02,1.272430E-01,1.392409E+03,4.779031E+03,5.282917E-02,6.534868E+02,1.807359E-01,2.704232E+03,1.016777E+04,5.282917E-02,6.587954E+02,1.782295E-01,2.648822E+03,7.195631E+03,1.536605E-01,7.149049E+03,1.272430E-01,0.000000E+00,0.000000E+00,9.860272E-02,3.666026E+03,1.272430E-01,0.000000E+00,0.000000E+00,1.337408E-01,5.725038E+03,1.272430E-01,0.000000E+00,0.000000E+00
