Time,THERMAL ZONE 1:ATLANTA HARTSFIELD INTL AP ANN HTG WIND 99.6% CONDNS WS=>MCDB:Des Heat Load [W],THERMAL ZONE 1:ATLANTA HARTSFIELD INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 1:ATLANTA HARTSFIELD INTL AP ANN HTG WIND 99.6% CONDNS WS=>MCDB:Des Heat Mass Flow [kg/s],THERMAL ZONE 1:ATLANTA HARTSFIELD INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 2:ATLANTA HARTSFIELD INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 2:ATLANTA HARTSFIELD INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 2:ATLANTA HARTSFIELD INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 2:ATLANTA HARTSFIELD INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 3:ATLANTA HARTSFIELD INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 3:ATLANTA HARTSFIELD INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 3:ATLANTA HARTSFIELD INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 3:ATLANTA HARTSFIELD INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 4:ATLANTA HARTSFIELD INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 4:ATLANTA HARTSFIELD INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 4:ATLANTA HARTSFIELD INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 4:ATLANTA HARTSFIELD INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 5:ATLANTA HARTSFIELD INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 5:ATLANTA HARTSFIELD INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 5:ATLANTA HARTSFIELD INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 5:ATLANTA HARTSFIELD INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 6:ATLANTA HARTSFIELD INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 6:ATLANTA HARTSFIELD INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 6:ATLANTA HARTSFIELD INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 6:ATLANTA HARTSFIELD INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 7:ATLANTA HARTSFIELD INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 7:ATLANTA HARTSFIELD INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 7:ATLANTA HARTSFIELD INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 7:ATLANTA HARTSFIELD INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 8::Des Heat Load [W],THERMAL ZONE 8::Des Sens Cool Load [W],THERMAL ZONE 8::Des Heat Mass Flow [kg/s],THERMAL ZONE 8::Des Cool Mass Flow [kg/s]
01:00:00,2.887975E+04,0.000000E+00,5.454097E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.400360E+03,6.349334E+02,5.636775E-02,6.127419E-02,2.808275E+03,1.224996E+03,6.606968E-02,1.200444E-01,2.801770E+03,1.027186E+03,6.591442E-02,9.862397E-02,2.244071E+03,5.952913E+02,5.265624E-02,5.754599E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
02:00:00,2.965596E+04,0.000000E+00,5.590625E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.216528E+03,4.878655E+02,5.301981E-02,5.487635E-02,2.694633E+03,1.281205E+03,6.445481E-02,1.430157E-01,2.683504E+03,1.179619E+03,6.418862E-02,1.317773E-01,2.044631E+03,4.639073E+02,4.890967E-02,5.225987E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
03:00:00,3.016041E+04,0.000000E+00,5.685437E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.820442E+03,2.891459E+02,4.354274E-02,3.256856E-02,2.265293E+03,9.422548E+02,5.418305E-02,1.059764E-01,2.245320E+03,8.543856E+02,5.370530E-02,9.610991E-02,1.645764E+03,2.749642E+02,3.936469E-02,3.098401E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
04:00:00,3.032985E+04,0.000000E+00,5.717313E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.665214E+03,1.446931E+02,3.982986E-02,1.629550E-02,2.091566E+03,6.999560E+02,5.002767E-02,7.882017E-02,2.062250E+03,6.203499E+02,4.932646E-02,6.985771E-02,1.488740E+03,1.366404E+02,3.560881E-02,1.538926E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
05:00:00,3.041711E+04,0.000000E+00,5.733727E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.588529E+03,7.014454E+01,3.799565E-02,7.899604E-03,2.001930E+03,5.576787E+02,4.788370E-02,6.280344E-02,1.962272E+03,4.839224E+02,4.693513E-02,5.449770E-02,1.410802E+03,6.556147E+01,3.374463E-02,7.383574E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
06:00:00,3.047008E+04,0.000000E+00,5.743687E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.546026E+03,2.414624E+01,3.697902E-02,2.719260E-03,1.948814E+03,4.545024E+02,4.661322E-02,5.118480E-02,1.898902E+03,3.842298E+02,4.541938E-02,4.327111E-02,1.367484E+03,2.080871E+01,3.270853E-02,2.343370E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
07:00:00,3.050280E+04,0.000000E+00,5.749850E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.520546E+03,1.159565E+02,3.636957E-02,1.305878E-02,1.914088E+03,4.472914E+02,4.578261E-02,5.037362E-02,1.854556E+03,3.412881E+02,4.435869E-02,3.843519E-02,1.341267E+03,1.766726E+02,3.208145E-02,1.989637E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
08:00:00,3.052618E+04,0.000000E+00,5.754226E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,3.736856E+01,0.000000E+00,7.052985E-04,0.000000E+00,1.504099E+03,1.177870E+02,3.597619E-02,1.326522E-02,1.889831E+03,4.439476E+02,4.520242E-02,4.999798E-02,1.821497E+03,3.715145E+02,4.356795E-02,4.183922E-02,1.324335E+03,1.693225E+02,3.167646E-02,1.906955E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
09:00:00,3.054295E+04,2.821305E+03,5.757382E-01,2.016647E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,6.744350E+01,0.000000E+00,1.271912E-03,0.000000E+00,1.492949E+03,1.354218E+02,3.570949E-02,1.525175E-02,1.871895E+03,5.071379E+02,4.477342E-02,5.711586E-02,1.795886E+03,4.613389E+02,4.295537E-02,5.195507E-02,1.312823E+03,1.778022E+02,3.140110E-02,2.002576E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
10:00:00,3.055529E+04,7.835693E+03,5.759705E-01,5.492655E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,8.840093E+01,0.000000E+00,1.667129E-03,0.000000E+00,1.485134E+03,1.844189E+02,3.552257E-02,2.077151E-02,1.858240E+03,6.298384E+02,4.444680E-02,7.093664E-02,1.775516E+03,5.858246E+02,4.246814E-02,6.597441E-02,1.304725E+03,2.120247E+02,3.120742E-02,2.388293E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
